CustomerID,FirstName,LastName,Email,Gender,Age,City,State,PurchaseAmount,PurchaseDate,ProductCategory,Rating
1,James,Smith,Emily.Brown@gmail.com,Male,34,Austin,AZ,371.73,2023-05-19,Clothing,5
2,Sarah,Hernandez,David.Johnson@gmail.com,Male,57,Austin,AZ,161.96,2023-04-27,Electronics,5
3,Linda,Williams,John.Brown@gmail.com,Female,36,Dallas,NC,459.6,2023-10-26,Home & Kitchen,2
4,David,Williams,John.Smith@gmail.com,Female,69,San Antonio,NY,119.49,2023-10-03,Sports,4
5,James,Jones,Michael.Williams@gmail.com,Female,32,Los Angeles,MI,332.05,2023-10-04,Home & Kitchen,2
6,Sophia,Hernandez,Sarah.Williams@gmail.com,Male,26,Philadelphia,IL,62.96,2023-12-04,Clothing,4
7,Michael,Jones,Michael.Smith@gmail.com,Female,69,Houston,IL,339.67,2023-11-09,Electronics,1
8,James,Hernandez,Sarah.Johnson@gmail.com,Female,27,New York,IL,174.71,2023-06-27,Clothing,2
9,Linda,Miller,Emily.Williams@gmail.com,Male,61,New York,IL,252.35,2023-11-26,Home & Kitchen,5
10,David,Smith,Emily.Jones@gmail.com,Female,48,Phoenix,MI,205.37,2023-12-20,Clothing,2
11,Sarah,Miller,David.Williams@gmail.com,Male,40,Los Angeles,AZ,127.74,2023-06-03,Books,2
12,Linda,Lopez,Sarah.Jones@gmail.com,Male,69,Houston,MI,329.89,2023-07-20,Toys & Games,1
13,Linda,Garcia,David.Smith@gmail.com,Female,47,New York,IL,446.89,2024-01-01,Home & Kitchen,5
14,Michael,Brown,John.Smith@gmail.com,Female,50,Houston,NY,481.59,2023-04-25,Clothing,5
15,Anna,Hernandez,Sarah.Williams@gmail.com,Female,69,Philadelphia,TX,136.56,2023-06-08,Electronics,3
16,David,Lopez,Michael.Brown@gmail.com,Male,26,Austin,CA,372.82,2023-02-11,Clothing,3
17,Emily,Garcia,John.Jones@gmail.com,Male,64,Houston,IL,348.95,2023-09-04,Electronics,3
18,Linda,Martinez,John.Johnson@gmail.com,Male,18,New York,OH,204.52,2023-03-09,Toys & Games,1
19,Anna,Smith,Michael.Williams@gmail.com,Female,61,San Antonio,TX,58.59,2023-11-22,Clothing,2
20,Emily,Jones,John.Johnson@gmail.com,Female,52,Los Angeles,MI,360.41,2023-11-30,Toys & Games,5
21,David,Jones,Sarah.Williams@gmail.com,Female,28,Dallas,OH,475.47,2023-07-15,Home & Kitchen,5
22,John,Miller,David.Brown@gmail.com,Female,51,Chicago,OH,334.45,2023-03-31,Electronics,2
23,Sophia,Williams,John.Brown@gmail.com,Male,33,San Diego,PA,245.88,2023-04-21,Books,5
24,Anna,Garcia,Sarah.Brown@gmail.com,Male,26,San Diego,OH,286.32,2023-12-25,Home & Kitchen,2
25,Robert,Martinez,Emily.Brown@gmail.com,Male,49,Chicago,IL,139.83,2023-05-25,Electronics,1
26,John,Lopez,Sarah.Smith@gmail.com,Male,32,Houston,PA,387.74,2023-10-02,Toys & Games,1
27,Sophia,Smith,David.Smith@gmail.com,Female,29,Los Angeles,NC,385.89,2023-06-28,Sports,1
28,Michael,Garcia,Sarah.Jones@gmail.com,Female,50,Houston,AZ,115.48,2023-08-29,Clothing,2
29,James,Martinez,Michael.Johnson@gmail.com,Female,62,Dallas,OH,445.09,2023-11-22,Toys & Games,2
30,Sarah,Brown,David.Williams@gmail.com,Male,31,Los Angeles,NY,171.14,2023-11-15,Electronics,4
31,Robert,Hernandez,Emily.Williams@gmail.com,Male,25,Chicago,CA,492.02,2023-11-27,Electronics,5
